CID	Pack_Number	Part_Number	AppricableCID	Keyword	CVN	Country Spec	Vehicle	Year	Engine	Aspiration	Transmission	Specification
02D2008000	82002FJ011_US	82002FJ010	02D2003000	00787F1C	E73086E1	N.AMERICA	Crosstrek Hybrid	2016	2.0L	non-Turbo	CVT	FED  CAL
ZA1JK10C	22765AK031	22765AK030	ZA1JK00C	54870256	03D3 D0F5	N.AMERICA	BRZ	2017	2.0L	non-Turbo	MT	FED  CAL
ZA1JN20C	22765AM101	22765AM100	ZA1JN00C	81B6BE7F	512F DBDA	N.AMERICA	BRZ	2018	2.0L	non-Turbo	MT	FED  CAL
ZA1JN20C	22765AM101	22765AM100	ZA1JN10C	81B6BE7F	512F DBDA	N.AMERICA	BRZ	2018	2.0L	non-Turbo	MT	FED  CAL
ZA1JS10C	22765AN211	22765AN210	ZA1JS00C	5D63E304	08D0 24F6	N.AMERICA	BRZ	2019	2.0L	non-Turbo	MT	FED  CAL
S1F66663	30919AG023	30919AG020	S1F66230	0EFC359E	8044 8945	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
S1F66663	30919AG023	30919AG021	S1F66260	0EFC359E	8044 8945	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
S1F66663	30919AG023	30919AG022	S1F66660	0EFC359E	8044 8945	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
S1F64663	30919AG033	30919AG030	S1F64230	AF5A4C1D	5ACA 8945	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
S1F64663	30919AG033	30919AG031	S1F64260	AF5A4C1D	5ACA 8945	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
S1F64663	30919AG033	30919AG032	S1F64660	AF5A4C1D	5ACA 8945	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
S1F66663	30919AG023	30919AG020	S1F66230	0EFC359E	8044 8945	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
S1F66663	30919AG023	30919AG021	S1F66260	0EFC359E	8044 8945	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
S1F66663	30919AG023	30919AG022	S1F66660	0EFC359E	8044 8945	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
S1F64663	30919AG033	30919AG030	S1F64230	AF5A4C1D	5ACA 8945	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
S1F64663	30919AG033	30919AG031	S1F64260	AF5A4C1D	5ACA 8945	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
S1F64663	30919AG033	30919AG032	S1F64660	AF5A4C1D	5ACA 8945	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
S1F66663	30919AG023	30919AG020	S1F66230	0EFC359E	8044 8945	N.AMERICA	Forester	2021	2.5L	non-Turbo	CVT	FED  CAL
S1F66663	30919AG023	30919AG021	S1F66260	0EFC359E	8044 8945	N.AMERICA	Forester	2021	2.5L	non-Turbo	CVT	FED  CAL
S1F66663	30919AG023	30919AG022	S1F66660	0EFC359E	8044 8945	N.AMERICA	Forester	2021	2.5L	non-Turbo	CVT	FED  CAL
S1F64663	30919AG033	30919AG030	S1F64230	AF5A4C1D	5ACA 8945	N.AMERICA	Forester	2021	2.5L	non-Turbo	CVT	FED  CAL
S1F64663	30919AG033	30919AG031	S1F64260	AF5A4C1D	5ACA 8945	N.AMERICA	Forester	2021	2.5L	non-Turbo	CVT	FED  CAL
S1F64663	30919AG033	30919AG032	S1F64660	AF5A4C1D	5ACA 8945	N.AMERICA	Forester	2021	2.5L	non-Turbo	CVT	FED  CAL
F5FDD080	30919AH821	30919AH820	F5FDD060	2D998EA7	5037A347	N.AMERICA	WRX	2020	2.0L	Turbo	CVT	FED  CAL
---	27596VA015	27596VA010	---	441C2F79	---	N.AMERICA	WRX	2015	2.0L	Turbo	CVT	FED  CAL
---	27596VA015	27596VA011	---	441C2F79	---	N.AMERICA	WRX	2015	2.0L	Turbo	CVT	FED  CAL
---	27596VA015	27596VA012	---	441C2F79	---	N.AMERICA	WRX	2015	2.0L	Turbo	CVT	FED  CAL
---	27596VA015	27596VA013	---	441C2F79	---	N.AMERICA	WRX	2015	2.0L	Turbo	CVT	FED  CAL
---	27596VA015	27596VA014	---	441C2F79	---	N.AMERICA	WRX	2015	2.0L	Turbo	CVT	FED  CAL
---	27596VA034_VER1	27596VA030	---	421EDEC3	---	N.AMERICA	WRX	2016	2.0L	Turbo	CVT	FED  CAL
---	27596VA034_VER1	27596VA031	---	421EDEC3	---	N.AMERICA	WRX	2016	2.0L	Turbo	CVT	FED  CAL
---	27596VA034_VER1	27596VA032	---	421EDEC3	---	N.AMERICA	WRX	2016	2.0L	Turbo	CVT	FED  CAL
---	27596VA034_VER1	27596VA033	---	421EDEC3	---	N.AMERICA	WRX	2016	2.0L	Turbo	CVT	FED  CAL
---	27596VA074_VER1	27596VA070	---	DAD5052B	---	N.AMERICA	WRX	2017	2.0L	Turbo	CVT	FED  CAL
---	27596VA074_VER1	27596VA071	---	DAD5052B	---	N.AMERICA	WRX	2017	2.0L	Turbo	CVT	FED  CAL
---	27596VA074_VER1	27596VA072	---	DAD5052B	---	N.AMERICA	WRX	2017	2.0L	Turbo	CVT	FED  CAL
---	27596VA074_VER1	27596VA073	---	DAD5052B	---	N.AMERICA	WRX	2017	2.0L	Turbo	CVT	FED  CAL
---	27596VA102	27596VA100	---	94859063	---	N.AMERICA	WRX	2018	2.0L	Turbo	CVT	FED  CAL
---	27596VA102	27596VA101	---	94859063	---	N.AMERICA	WRX	2018	2.0L	Turbo	CVT	FED  CAL
---	27596SJ750_del1	27596SJ010	---	A4E3D90C	---	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	-
---	27596SJ750_del1	27596SJ050	---	A4E3D90C	---	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	-
---	27596SJ091	27596SJ090	---	3B844F75	---	N.AMERICA	Forester	2021	2.5L	non-Turbo	CVT	-
---	27596SJ141	27596SJ140	---	CCA23D57	---	N.AMERICA	Forester	2022	2.5L	non-Turbo	CVT	-
---	27596AN00D	27596AN00A	---	019B84E3	---	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00B	---	019B84E3	---	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00C	---	019B84E3	---	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00A	---	019B84E3	---	N.AMERICA	Legacy	2020	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00B	---	019B84E3	---	N.AMERICA	Legacy	2020	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00C	---	019B84E3	---	N.AMERICA	Legacy	2020	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00A	---	019B84E3	---	N.AMERICA	Outback	2020	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00B	---	019B84E3	---	N.AMERICA	Outback	2020	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00C	---	019B84E3	---	N.AMERICA	Outback	2020	2.4L	Turbo	CVT	FED  CAL
