CID	Pack_Number	Part_Number	AppricableCID	Keyword	CVN	Country Spec	Vehicle	Year	Engine	Aspiration	Transmission	Specification
EZFB2OB3	30919AA084	30919AA081	EZFB2OB0	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2013	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA082	EZFB2OB1	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2013	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA082	EZFB2OF1	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2013	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA083	EZFB2OB2	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2013	3.6L	non-Turbo	AT	FED  CAL
F4F20082	30919AD323	-	F4F20060	C7427FA5	02AE8E5D	N.AMERICA	Legacy	2015	2.5L	non-Turbo	CVT	FED  CAL
F4F20082	30919AD323	-	F4F20061	C7427FA5	02AE8E5D	N.AMERICA	Legacy	2015	2.5L	non-Turbo	CVT	FED  CAL
F4F20082	30919AD323	30919AD320	F4F20062	C7427FA5	02AE8E5D	N.AMERICA	Legacy	2015	2.5L	non-Turbo	CVT	FED  CAL
F4F20082	30919AD323	30919AD321	F4F20080	C7427FA5	02AE8E5D	N.AMERICA	Legacy	2015	2.5L	non-Turbo	CVT	FED  CAL
F4F20082	30919AD323	30919AD322	F4F20081	C7427FA5	02AE8E5D	N.AMERICA	Legacy	2015	2.5L	non-Turbo	CVT	FED  CAL
F4F24082	30919AD333	-	F4F24060	4561EC13	B498A8B8	N.AMERICA	Outback	2015	2.5L	non-Turbo	CVT	FED  CAL
F4F24082	30919AD333	-	F4F24061	4561EC13	B498A8B8	N.AMERICA	Outback	2015	2.5L	non-Turbo	CVT	FED  CAL
F4F24082	30919AD333	30919AD330	F4F24062	4561EC13	B498A8B8	N.AMERICA	Outback	2015	2.5L	non-Turbo	CVT	FED  CAL
F4F24082	30919AD333	30919AD331	F4F24080	4561EC13	B498A8B8	N.AMERICA	Outback	2015	2.5L	non-Turbo	CVT	FED  CAL
F4F24082	30919AD333	30919AD332	F4F24081	4561EC13	B498A8B8	N.AMERICA	Outback	2015	2.5L	non-Turbo	CVT	FED  CAL
E5F20081	30919AF032	-	E5F20060	74977F60	97D0BDBF	N.AMERICA	Legacy	2016	2.5L	non-Turbo	CVT	FED  CAL
E5F20081	30919AF032	30919AF030	E5F20070	74977F60	97D0BDBF	N.AMERICA	Legacy	2016	2.5L	non-Turbo	CVT	FED  CAL
E5F20081	30919AF032	30919AF031	E5F20080	74977F60	97D0BDBF	N.AMERICA	Legacy	2016	2.5L	non-Turbo	CVT	FED  CAL
E5F24081	30919AF042	-	E5F24060	0082F1E2	BC08BDBF	N.AMERICA	Outback	2016	2.5L	non-Turbo	CVT	FED  CAL
