axis_addr	firmware_len	def_len	ratio
0x133b6	9	4	2.25
0x24534	20	10	2.0
0x26bd2	10	5	2.0
0x31314	14	7	2.0
0x31340	10	5	2.0
0x3140e	16	8	2.0
0x31b24	17	8	2.12
0x31b58	19	9	2.11
0x33564	16	8	2.0
0x34dbe	16	8	2.0
0x35cbc	16	8	2.0
0x3842a	22	11	2.0
0x38456	16	8	2.0
0x40e04	16	8	2.0
0x49baa	16	8	2.0
